Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Ticker
Taneja Vaibhav,Chief Financial Officer,Nov 08 '24,Option Exercise,18.22,"8,000","145,760","113,032",Nov 13 07:27 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Nov 11 '24,Option Exercise,18.22,"4,000","72,880","109,032",Nov 13 07:27 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Nov 08 '24,Sale,300.37,"8,000","2,402,956","105,032",Nov 13 07:27 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Nov 11 '24,Sale,350.00,"4,000","1,400,000","105,032",Nov 13 07:27 PM,TSLA
Wilson-Thompson Kathleen,Director,Nov 11 '24,Option Exercise,15.05,"100,000","1,504,664","105,400",Nov 13 07:00 PM,TSLA
Wilson-Thompson Kathleen,Director,Nov 11 '24,Sale,346.02,"100,000","34,602,454","5,400",Nov 13 07:00 PM,TSLA
VAIBHAV TANEJA,Officer,Nov 08 '24,Proposed Sale,296.91,"8,000","2,375,280",,Nov 08 04:40 PM,TSLA
Musk Kimbal,Director,Nov 01 '24,Option Exercise,24.73,"15,000","370,950","1,623,720",Nov 05 08:14 PM,TSLA
Musk Kimbal,Director,Nov 01 '24,Sale,250.23,"60,500","15,138,945","1,563,220",Nov 05 08:14 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Nov 01 '24,Option Exercise,18.22,"4,000","72,880","109,032",Nov 04 07:08 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Nov 01 '24,Sale,251.76,"4,000","1,007,040","105,032",Nov 04 07:08 PM,TSLA
Kimbal Musk,Affiliate,Nov 01 '24,Proposed Sale,249.85,"60,500","15,115,925",,Nov 01 04:51 PM,TSLA
VAIBHAV TANEJA,Officer,Nov 01 '24,Proposed Sale,249.85,"4,000","999,400",,Nov 01 04:40 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Oct 24 '24,Option Exercise,18.22,"4,000","72,880","109,032",Oct 28 08:28 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Oct 24 '24,Sale,250.00,"4,000","1,000,000","105,032",Oct 28 08:28 PM,TSLA
VAIBHAV TANEJA,Officer,Oct 24 '24,Proposed Sale,213.65,"4,000","854,600",,Oct 24 04:22 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Sep 23 '24,Option Exercise,18.22,"8,000","145,760","113,032",Sep 25 07:48 PM,TSLA
Taneja Vaibhav,Chief Financial Officer,Sep 23 '24,Sale,250.00,"8,000","2,000,000","105,032",Sep 25 07:48 PM,TSLA
VAIBHAV TANEJA,Officer,Sep 23 '24,Proposed Sale,238.25,"8,000","1,906,000",,Sep 23 04:27 PM,TSLA
Zhu Xiaotong,"SVP, Automotive",Sep 05 '24,Option Exercise,0.00,"2,633",0,"67,788",Sep 09 08:02 PM,TSLA
Zhu Xiaotong,"SVP, Automotive",Sep 06 '24,Sale,221.77,297,"65,867","67,491",Sep 09 08:02 PM,TSLA
DENHOLM ROBYN M,Director,Jul 25 '24,Option Exercise,23.17,"136,364","3,159,554","151,364",Jul 29 07:00 PM,TSLA
DENHOLM ROBYN M,Director,Jul 25 '24,Sale,219.96,"66,364","14,597,629","85,000",Jul 29 07:00 PM,TSLA
Zhu Xiaotong,"SVP, Automotive",Jun 05 '24,Option Exercise,0.00,"2,633",0,"65,804",Jun 07 06:46 PM,TSLA
Zhu Xiaotong,"SVP, Automotive",Jun 06 '24,Sale,174.21,650,"113,151","65,155",Jun 07 06:46 PM,TSLA
MURDOCH JAMES R,Director,Jun 03 '24,Option Exercise,21.31,"250,020","5,327,926","250,020",Jun 05 07:16 PM,TSLA
DENHOLM ROBYN M,Director,May 06 '24,Option Exercise,23.17,"93,705","2,171,145","108,705",May 07 06:12 PM,TSLA
DENHOLM ROBYN M,Director,May 06 '24,Sale,184.86,"93,705","17,322,282","15,000",May 07 06:12 PM,TSLA
Pichai Sundar,Chief Executive Officer,Apr 02 '25,Sale,158.56,"32,500","5,153,133","2,717,696",Apr 04 04:49 PM,GOOGL
SUNDAR PICHAI,Director,Apr 02 '25,Proposed Sale,158.88,"32,500","5,163,600",,Apr 02 04:25 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Apr 02 '25,Proposed Sale,158.88,"4,000","635,520",,Apr 02 04:25 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Apr 01 '25,Sale,155.33,673,"104,537","15,303",Apr 01 05:54 PM,GOOGL
ARNOLD FRANCES,Director,Mar 28 '25,Sale,162.42,111,"18,029","17,048",Mar 31 04:33 PM,GOOGL
ARNOLD FRANCES,Director,Mar 28 '25,Proposed Sale,162.42,111,"18,029",,Mar 28 04:11 PM,GOOGL
WALKER JOHN KENT,"President, Global Affairs, CLO",Mar 27 '25,Sale,166.84,"11,764","1,962,700","49,037",Mar 27 05:43 PM,GOOGL
"JOHN KENT WALKER JR, TTEE OF T",Officer,Mar 27 '25,Proposed Sale,167.14,"11,764","1,966,235",,Mar 27 04:31 PM,GOOGL
HENNESSY JOHN L,Director,Mar 13 '25,Sale,165.53,200,"33,107","7,813",Mar 13 06:49 PM,GOOGL
The Lawrence Page Trust III,Affiliate,Mar 13 '25,Proposed Sale,166.05,"16,480","2,736,504",,Mar 13 04:51 PM,GOOGL
The Lawrence Page Trust II,Affiliate,Mar 13 '25,Proposed Sale,166.05,"9,440","1,567,512",,Mar 13 04:48 PM,GOOGL
The Lawrence Page Trust,Affiliate,Mar 13 '25,Proposed Sale,166.05,"220,320","36,584,136",,Mar 13 04:45 PM,GOOGL
HENNESSY JOHN L,Director,Mar 13 '25,Proposed Sale,167.98,200,"33,596",,Mar 13 04:07 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Mar 03 '25,Sale,173.47,"1,374","238,348","15,024",Mar 03 06:47 PM,GOOGL
ARNOLD FRANCES,Director,Feb 28 '25,Proposed Sale,170.30,121,"20,606",,Feb 28 04:20 PM,GOOGL
ARNOLD FRANCES,Director,Feb 28 '25,Sale,170.30,121,"20,606","16,938",Feb 28 01:23 PM,GOOGL
Porat Ruth,"President, Chief Invs. Officer",Feb 21 '25,Sale,183.48,"17,690","3,245,778","1,449,286",Feb 21 07:48 PM,GOOGL
RUTH PORAT,Officer,Feb 21 '25,Proposed Sale,186.64,"17,690","3,301,662",,Feb 21 04:21 PM,GOOGL
WALKER JOHN KENT,"President, Global Affairs, CLO",Feb 18 '25,Sale,185.51,"17,690","3,281,684","43,111",Feb 20 12:12 PM,GOOGL
Shriram Kavitark Ram,Director,Feb 18 '25,Sale,184.89,"29,066","5,373,924","272,466",Feb 19 01:22 PM,GOOGL
Shriram Kavitark Ram,Director,Feb 18 '25,Sale,184.86,"24,000","4,436,643","264,400",Feb 19 01:22 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Feb 18 '25,Sale,187.43,"2,824","529,302","15,024",Feb 19 11:11 AM,GOOGL
"JOHN KENT WALKER JR, TTEE OF T",Officer,Feb 18 '25,Proposed Sale,186.87,"17,690","3,305,730",,Feb 18 04:34 PM,GOOGL
K. RAM SHRIRAM,Director,Feb 18 '25,Proposed Sale,185.23,"29,066","5,383,895",,Feb 18 04:31 PM,GOOGL
Vijay Shriram,Director,Feb 18 '25,Proposed Sale,185.23,"24,000","4,445,520",,Feb 18 04:30 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Feb 03 '25,Sale,202.08,"1,340","270,787","17,848",Feb 03 04:57 PM,GOOGL
P RAGHAVAN & S P RAGHAVAN CO-T,Officer,Feb 03 '25,Proposed Sale,205.60,"25,174","5,175,774",,Feb 03 04:20 PM,GOOGL
Shriram Kavitark Ram,Director,Jan 31 '25,Sale,205.00,"14,000","2,870,000","301,532",Jan 31 05:50 PM,GOOGL
Shriram Kavitark Ram,Director,Jan 31 '25,Sale,205.00,"12,000","2,460,000","288,400",Jan 31 05:50 PM,GOOGL
K. RAM SHRIRAM,Director,Jan 31 '25,Proposed Sale,200.87,"14,000","2,812,180",,Jan 31 04:37 PM,GOOGL
Vijay Shriram,Director,Jan 31 '25,Proposed Sale,200.87,"12,000","2,410,440",,Jan 31 04:37 PM,GOOGL
ARNOLD FRANCES,Director,Jan 30 '25,Proposed Sale,200.00,110,"22,000",,Jan 30 04:11 PM,GOOGL
ARNOLD FRANCES,Director,Jan 30 '25,Sale,200.00,110,"22,000","16,819",Jan 30 02:53 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Jan 15 '25,Sale,194.32,"2,834","550,703","17,847",Jan 15 06:45 PM,GOOGL
HENNESSY JOHN L,Director,Jan 13 '25,Sale,189.80,"1,500","284,693","21,824",Jan 13 07:57 PM,GOOGL
HENNESSY JOHN L,Director,Jan 13 '25,Proposed Sale,190.07,"1,500","285,105",,Jan 13 04:03 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Jan 02 '25,Sale,191.55,"1,368","262,040","20,681",Jan 03 02:29 PM,GOOGL
WALKER JOHN KENT,"President, Global Affairs, CLO",Dec 30 '24,Sale,192.62,"16,820","3,239,916","43,981",Jan 02 03:19 PM,GOOGL
ARNOLD FRANCES,Director,Dec 31 '24,Sale,192.49,111,"21,366","16,709",Jan 02 02:37 PM,GOOGL
ARNOLD FRANCES,Director,Dec 31 '24,Proposed Sale,192.49,111,"21,366",,Dec 31 04:05 PM,GOOGL
"JOHN KENT WALKER JR, TTEE DIAN",Officer,Dec 30 '24,Proposed Sale,194.04,"16,820","3,263,753",,Dec 30 04:11 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Dec 16 '24,Sale,197.55,"2,834","559,850","20,681",Dec 17 09:20 PM,GOOGL
HENNESSY JOHN L,Director,Dec 12 '24,Sale,194.22,"1,500","291,336","23,324",Dec 13 06:18 PM,GOOGL
HENNESSY JOHN L,Director,Dec 12 '24,Proposed Sale,195.00,"1,500","292,500",,Dec 12 04:06 PM,GOOGL
Shriram Kavitark Ram,Director,Dec 10 '24,Sale,185.02,"37,134","6,870,703","282,832",Dec 10 08:49 PM,GOOGL
Shriram Kavitark Ram,Director,Dec 10 '24,Sale,185.01,"35,366","6,543,018","267,700",Dec 10 08:49 PM,GOOGL
Vijay Shriram,Director,Dec 10 '24,Proposed Sale,175.37,"35,366","6,202,135",,Dec 10 04:27 PM,GOOGL
K. RAM SHRIRAM,Director,Dec 10 '24,Proposed Sale,175.37,"37,134","6,512,190",,Dec 10 04:27 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Dec 02 '24,Sale,170.41,"1,367","232,950","23,515",Dec 02 06:19 PM,GOOGL
ARNOLD FRANCES,Director,Nov 29 '24,Sale,169.98,111,"18,868","16,599",Dec 02 05:39 PM,GOOGL
ARNOLD FRANCES,Director,Nov 29 '24,Proposed Sale,169.98,111,"18,868",,Nov 29 01:25 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Nov 20 '24,Sale,176.67,"22,500","3,975,018","2,061,806",Nov 21 04:55 PM,GOOGL
SUNDAR PICHAI,Director,Nov 20 '24,Proposed Sale,179.58,"22,500","4,040,550",,Nov 20 04:31 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Nov 20 '24,Proposed Sale,179.58,"4,000","718,320",,Nov 20 04:30 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Nov 15 '24,Sale,175.86,"2,835","498,563","23,514",Nov 18 04:16 PM,GOOGL
The Lawrence Page Trust,Affiliate,Nov 14 '24,Proposed Sale,178.24,"217,020","38,681,645",,Nov 14 05:29 PM,GOOGL
The Lawrence Page Trust II,Affiliate,Nov 14 '24,Proposed Sale,178.24,"9,320","1,661,197",,Nov 14 05:23 PM,GOOGL
The Lawrence Page Trust III,Affiliate,Nov 14 '24,Proposed Sale,178.24,"16,240","2,894,618",,Nov 14 05:16 PM,GOOGL
HENNESSY JOHN L,Director,Nov 12 '24,Sale,180.75,"1,500","271,125","24,824",Nov 12 05:18 PM,GOOGL
HENNESSY JOHN L,Director,Nov 12 '24,Proposed Sale,179.82,"1,500","269,730",,Nov 12 04:02 PM,GOOGL
Shriram Kavitark Ram,Director,Nov 07 '24,Sale,177.41,"10,500","1,862,805","319,966",Nov 07 06:00 PM,GOOGL
Shriram Kavitark Ram,Director,Nov 07 '24,Sale,177.41,"9,000","1,596,690","303,066",Nov 07 06:00 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Nov 06 '24,Sale,177.36,"22,500","3,990,704","2,084,306",Nov 06 06:54 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Nov 06 '24,Proposed Sale,171.41,"4,000","685,640",,Nov 06 05:08 PM,GOOGL
SUNDAR PICHAI,Director,Nov 06 '24,Proposed Sale,171.41,"22,500","3,856,725",,Nov 06 05:08 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Nov 01 '24,Sale,171.42,"1,367","234,331","26,349",Nov 04 09:01 PM,GOOGL
ARNOLD FRANCES,Director,Nov 04 '24,Sale,171.06,441,"75,437","16,490",Nov 04 08:50 PM,GOOGL
P RAGHAVAN & S P RAGHAVAN CO-T,Officer,Nov 01 '24,Proposed Sale,172.69,"25,171","4,346,780",,Nov 01 04:47 PM,GOOGL
Shriram Kavitark Ram,Director,Oct 30 '24,Sale,180.78,"10,500","1,898,190","330,466",Nov 01 12:13 PM,GOOGL
Shriram Kavitark Ram,Director,Oct 30 '24,Sale,180.78,"9,000","1,627,020","312,066",Nov 01 12:13 PM,GOOGL
ARNOLD FRANCES,Director,Oct 31 '24,Proposed Sale,174.69,441,"77,038",,Oct 31 04:05 PM,GOOGL
Vijay Shriram,Director,Oct 30 '24,Proposed Sale,169.68,"18,000","3,054,240",,Oct 30 04:24 PM,GOOGL
K RAM SHRIRAM,Director,Oct 30 '24,Proposed Sale,169.68,"21,000","3,563,280",,Oct 30 04:23 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Oct 16 '24,Sale,166.30,"22,500","3,741,762","2,106,806",Oct 16 04:59 PM,GOOGL
SUNDAR PICHAI,Director,Oct 16 '24,Proposed Sale,166.90,"22,500","3,755,250",,Oct 16 04:21 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Oct 16 '24,Proposed Sale,166.90,"4,000","667,600",,Oct 16 04:21 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Oct 15 '24,Sale,167.23,"2,834","473,930","26,349",Oct 15 05:32 PM,GOOGL
HENNESSY JOHN L,Director,Oct 14 '24,Sale,164.95,"1,500","247,432","26,324",Oct 15 05:16 PM,GOOGL
HENNESSY JOHN L,Director,Oct 14 '24,Proposed Sale,162.13,"1,500","243,195",,Oct 11 04:18 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Oct 02 '24,Sale,167.07,"22,500","3,759,083","2,129,306",Oct 02 04:56 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Oct 01 '24,Sale,168.84,"1,367","230,804","29,183",Oct 02 04:31 PM,GOOGL
SUNDAR PICHAI,Director,Oct 02 '24,Proposed Sale,168.42,"22,500","3,789,450",,Oct 02 04:19 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Oct 02 '24,Proposed Sale,168.42,"4,000","673,680",,Oct 02 04:18 PM,GOOGL
WALKER JOHN KENT,"President, Global Affairs, CLO",Sep 27 '24,Sale,165.47,"16,802","2,780,294","43,999",Sep 30 06:36 PM,GOOGL
"JOHN KENT WALKER JR, TTEEDIANA",Officer,Sep 27 '24,Proposed Sale,163.83,"16,802","2,752,672",,Sep 27 04:27 PM,GOOGL
HENNESSY JOHN L,Director,Sep 23 '24,Sale,165.00,700,"115,500","27,824",Sep 24 05:56 PM,GOOGL
HENNESSY JOHN L,Director,Sep 23 '24,Proposed Sale,165.00,700,"115,500",,Sep 23 04:11 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Sep 18 '24,Sale,160.63,"22,500","3,614,164","2,114,885",Sep 18 07:11 PM,GOOGL
SUNDAR PICHAI,Director,Sep 18 '24,Proposed Sale,160.28,"22,500","3,606,300",,Sep 18 04:44 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Sep 18 '24,Proposed Sale,160.28,"4,000","641,120",,Sep 18 04:42 PM,GOOGL
HENNESSY JOHN L,Director,Sep 12 '24,Sale,153.75,800,"123,003","28,524",Sep 16 01:52 PM,GOOGL
HENNESSY JOHN L,Director,Sep 12 '24,Proposed Sale,153.80,800,"123,040",,Sep 12 04:04 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sep 10 '24,Sale,151.53,"2,835","429,588","29,182",Sep 10 06:43 PM,GOOGL
WALKER JOHN KENT,"President, Global Affairs, CLO",Sep 03 '24,Sale,160.35,"21,467","3,442,277","39,334",Sep 05 06:20 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Sep 04 '24,Sale,158.68,"22,500","3,570,248","2,137,385",Sep 05 02:41 PM,GOOGL
PICHAI FAMILY FOUNDATION,Director,Sep 04 '24,Proposed Sale,158.61,"4,000","634,440",,Sep 04 04:13 PM,GOOGL
SUNDAR PICHAI,Director,Sep 04 '24,Proposed Sale,158.61,"22,500","3,568,725",,Sep 04 04:13 PM,GOOGL
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sep 03 '24,Sale,160.44,682,"109,420","32,017",Sep 03 05:46 PM,GOOGL
"JOHN KENT WALKER JR, TTEEDIANA",Officer,Sep 03 '24,Proposed Sale,165.11,"21,467","3,544,416",,Sep 03 04:27 PM,GOOGL
Pichai Sundar,Chief Executive Officer,Aug 21 '24,Sale,167.66,"22,500","3,772,441","2,159,885",Aug 21 06:51 PM,GOOGL
